Month_Code	Month	Site_Code	Site	Density	sH2O	pH	Nperc	Cperc	C:N_ratio	TN	TC	SOM	NH4_mgkg	NO3_mgkg	DIN_mgkg	PO4_mgkg	NH4	NO3	DIN	PO4
11	November	PPT	Paradise Point	2.185177679	0.227197347	8.26	0.0176	0.0666	3.784090909	38.45912714	0.145532833	0.453076647	3.705315992	0.15058748	3.855903472	15.21763388	0.080967738	0.003290604	0.084258342	0.332532339
11	November	SSH	South Shores	2.286856567	0.241504304	8.23	0.0155	0.0975	6.290322581	35.44627679	0.222968515	0.395345172	2.741347992	0.037147599	2.778495591	76.53466191	0.062690697	0.000849512	0.063540209	1.750237942
11	November	TCR	Tecolote Creek	2.084976772	0.232876712	8.23	0.0189	0.1146	6.063492063	39.40606098	0.238938338	1.007701805	4.629140875	0.083453635	4.71259451	177.9948565	0.096516512	0.001739989	0.098256501	3.711151413
12	December	DAC	De Anza Cove	2.145990515	0.250964161	8.1	0.0184	0.1291	7.016304348	39.48622548	0.277047375	0.787330317	5.180819354	0.066279932	5.247099285	121.0986832	0.111179892	0.001422361	0.112602253	2.598766256
12	December	FSB	Fiesta Sunset Beach	2.208907323	0.274398813	8.42	0.0203	0.2155	10.61576355	44.84081867	0.476019528	1.153664917	6.365031416	0.018217786	6.383249202	112.7034004	0.140597645	0.000402414	0.141000059	2.489513665
12	December	FSP	Fanuel St Park	2.295895974	0.245169143	8.51	0.0221	0.1062	4.805429864	50.73930102	0.243824152	0.557762951	2.699640387	0.020983227	2.720623613	29.37430476	0.061980935	0.000481753	0.062462688	0.67440348
12	December	LLN	Leisure Lagoon	2.120179935	0.248089382	7.97	0.0214	0.1604	7.495327103	45.37185061	0.340076862	0.543379548	11.00920841	0.048231487	11.0574399	54.75003812	0.233415028	0.001022594	0.234437622	1.160799323
12	December	MPT	Mission Point	2.758213653	0.246594214	8.1	0.0155	0.0645	4.161290323	42.75231162	0.177904781	0.38372141	2.434756533	0.057799821	2.492556354	64.56266866	0.067155787	0.001594243	0.06875003	1.780776342
12	December	PPT	Paradise Point	2.185177679	0.278997577	8.44	0.0361	0.059	1.63434903	78.8849142	0.128925483	1.187786725	10.7513707	0.03493822	10.78630892	73.42636688	0.234936553	0.000763462	0.235700015	1.604496579
12	December	SSH	South Shores	2.286856567	0.281934105	8.15	0.0278	0.2603	9.363309353	63.57461256	0.595268764	1.845738295	7.033037145	0.038582984	7.071620129	230.2136887	0.160835472	0.000882338	0.161717809	5.264656858
12	December	TCR	Tecolote Creek	2.084976772	0.448270322	8.38	0.0519	0.3654	7.040462428	108.2102944	0.761850512	3.449010355	12.7898531	0.080714937	12.87056803	329.7256987	0.266665466	0.001682888	0.268348354	6.874704228
01	January	DAC	De Anza Cove	2.145990515	0.203208556	8.28	0.0232	0.2082	8.974137931	49.78697995	0.446795225	0.613288628	5.789636461	0.037639595	5.827276057	84.71251214	0.124245049	0.000807742	0.125052791	1.817922476
01	January	FSB	Fiesta Sunset Beach	2.208907323	0.230982019	8.31	0.0172	0.1339	7.784883721	37.99320596	0.295772691	0.452753031	2.691523293	0.102419874	2.793943168	53.51710084	0.059453255	0.00226236	0.061715615	1.18214316
01	January	FSP	Fanuel St Park	2.295895974	0.19396903	8.3	0.0151	0.0914	6.052980132	34.6680292	0.209844892	0.461673641	1.294483373	0.038376851	1.332860224	26.81946279	0.029719992	0.000881093	0.030601084	0.615746966
01	January	LLN	Leisure Lagoon	2.120179935	0.239005736	7.9	0.018	0.0865	4.805555556	38.16323883	0.183395564	0.354790419	6.079118269	0.090023771	6.16914204	89.88972967	0.128888246	0.001908666	0.130796912	1.905824012
01	January	MPT	Mission Point	2.758213653	0.203104787	8.28	0.014	0.1787	12.76428571	38.61499114	0.49289278	0.304951128	7.121889789	0.240832004	7.362721793	53.89169238	0.196436936	0.006642661	0.203079598	1.486448017
01	January	PPT	Paradise Point	2.185177679	0.26984127	8.42	0.0322	0.0265	0.822981366	70.36272125	0.057907208	0.831562413	5.774073491	0.048606906	5.822680397	93.4361717	0.126173765	0.001062147	0.127235912	2.041746368
01	January	SSH	South Shores	2.286856567	0.232939035	8.17	0.0196	0.1477	7.535714286	44.82238871	0.337768715	0.656338028	6.886020986	0.2788992	7.164920187	368.6863471	0.157473423	0.006378025	0.163851448	8.431327939
01	January	TCR	Tecolote Creek	2.084976772	0.234662577	8.08	0.0197	0.0874	4.436548223	41.0740424	0.18222697	0.995601173	3.29502573	0.242234507	3.537260237	276.3767265	0.068700521	0.005050533	0.073751054	5.76239055
